modelo,falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp
mlp,lacuna,100,65,65,209,18,191,5,0.9176470588235294,0.6928104575163399,0.6363636363636364,0.4117647058823529,0.5,0.9738562091439618,149,4,10,7
mlp,lacuna,100,70,70,195,19,176,5,0.9375,0.7949921752738655,0.7857142857142857,0.6111111111111112,0.6875,0.9788732394297264,139,3,7,11
mlp,lacuna,100,75,75,182,18,164,5,0.94,0.7865988500663423,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.984962406007632,131,2,7,10
mlp,lacuna,100,80,80,170,15,155,5,0.9571428571428572,0.8174603174603174,0.9,0.6428571428571429,0.75,0.9920634920556185,125,1,5,9
mlp,lacuna,100,85,85,160,15,145,5,0.8923076923076924,0.5942118226600985,0.5,0.21428571428571427,0.3,0.974137931026085,113,3,11,3
mlp,lacuna,100,90,90,151,17,134,5,0.912,0.7095756880733946,0.7777777777777778,0.4375,0.56,0.981651376137783,107,2,9,7
mlp,lacuna,100,95,95,143,14,129,5,0.9130434782608695,0.6153846153846154,1.0,0.23076923076923078,0.375,0.9999999999901961,102,0,10,3
mlp,lacuna,100,100,100,136,12,124,5,0.9818181818181818,0.9090909090909092,1.0,0.8181818181818182,0.9,0.999999999989899,99,0,2,9
mlp,oscilacao,20,5,5,2733,136,2597,5,0.9920879120879121,0.9514260095871987,0.9238095238095239,0.9065420560747663,0.9150943396226415,0.9963099630991714,2160,8,10,97
mlp,oscilacao,20,10,10,1367,68,1299,5,0.9929515418502203,0.9787062733408709,0.896551724137931,0.9629629629629629,0.9285714285714286,0.994449583717859,1075,6,2,52
mlp,oscilacao,20,15,15,911,45,866,5,0.9880794701986755,0.9393849206349206,0.8611111111111112,0.8857142857142857,0.8732394366197183,0.9930555555541764,715,5,4,31
mlp,oscilacao,20,20,20,684,29,655,5,0.9929824561403509,0.9755186392178683,0.88,0.9565217391304348,0.9166666666666666,0.9945155393034836,544,3,1,22
mlp,oscilacao,30,5,5,2731,164,2567,5,0.9912087912087912,0.9661963487143921,0.9097744360902256,0.937984496124031,0.9236641221374046,0.9944082013042896,2134,12,8,121
mlp,oscilacao,30,10,10,1366,82,1284,5,0.9911894273127754,0.9664270309130123,0.9104477611940298,0.9384615384615385,0.9242424242424242,0.9943925233635567,1064,6,4,61
mlp,oscilacao,30,15,15,911,53,858,5,0.9894039735099338,0.927168904027249,0.9473684210526315,0.8571428571428571,0.9,0.9971949509102424,711,2,6,36
mlp,oscilacao,30,20,20,683,41,642,5,0.9858407079646018,0.9356345408976987,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9924812030056532,528,4,4,29
mlp,oscilacao,30,25,25,547,38,509,5,0.978021978021978,0.8985088253195375,0.8620689655172413,0.8064516129032258,0.8333333333333334,0.9905660377335128,420,4,6,25
mlp,oscilacao,30,30,30,456,26,430,5,0.9842105263157894,0.9019763894415704,0.8947368421052632,0.8095238095238095,0.85,0.9944289693565616,357,2,4,17
mlp,oscilacao,40,5,5,2729,190,2539,5,0.9837004405286344,0.9664937106918239,0.8304093567251462,0.9466666666666667,0.8847352024922118,0.9863207547165159,2091,29,8,142
mlp,oscilacao,40,10,10,1365,96,1269,5,0.9841409691629956,0.9670742010834451,0.8372093023255814,0.9473684210526315,0.8888888888888888,0.986779981113327,1045,14,4,72
mlp,oscilacao,40,15,15,910,65,845,5,0.9735099337748344,0.9403269830659536,0.7540983606557377,0.9019607843137255,0.8214285714285714,0.9786931818167917,689,15,5,46
mlp,oscilacao,40,20,20,683,43,640,5,0.984070796460177,0.9502326354270522,0.8378378378378378,0.9117647058823529,0.8732394366197183,0.9887005649698895,525,6,3,31
mlp,oscilacao,40,25,25,546,40,506,5,0.9824175824175824,0.9472148345153664,0.8529411764705882,0.90625,0.8787878787878788,0.9881796690283967,418,5,3,29
mlp,oscilacao,40,30,30,455,30,425,5,0.9866666666666667,0.9734686609686609,0.8518518518518519,0.9583333333333334,0.9019607843137255,0.988603988601172,347,4,1,23
mlp,oscilacao,40,35,35,390,27,363,5,0.9815384615384616,0.9679667919799498,0.8,0.9523809523809523,0.8695652173913043,0.983552631575712,299,5,1,20
mlp,oscilacao,40,40,40,342,26,316,5,0.9789473684210527,0.9448051948051948,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.9848484848447544,260,4,2,19
mlp,oscilacao,50,5,5,2727,214,2513,5,0.981057268722467,0.9681372549019607,0.8223350253807107,0.9529411764705882,0.8828337874659401,0.9833333333328651,2065,35,8,162
mlp,oscilacao,50,10,10,1364,108,1256,5,0.986784140969163,0.9608264792604252,0.898876404494382,0.9302325581395349,0.9142857142857143,0.9914204003803705,1040,9,6,80
mlp,oscilacao,50,15,15,909,71,838,5,0.9788079470198675,0.9474887594522787,0.8225806451612904,0.9107142857142857,0.864406779661017,0.9842632331888638,688,11,5,51
mlp,oscilacao,50,20,20,682,54,628,5,0.9805309734513274,0.9254432861088835,0.8809523809523809,0.8604651162790697,0.8705882352941177,0.9904214559368,517,5,6,37
mlp,oscilacao,50,25,25,546,46,500,5,0.978021978021978,0.9141342299237036,0.8857142857142857,0.8378378378378378,0.8611111111111112,0.9904306220072,414,4,6,31
mlp,oscilacao,50,30,30,455,34,421,5,0.9786666666666667,0.9529424729997796,0.8,0.9230769230769231,0.8571428571428571,0.9828080229198201,343,6,2,24
mlp,oscilacao,50,35,35,390,30,360,5,0.9784615384615385,0.8733388704318936,0.9473684210526315,0.75,0.8372093023255814,0.9966777408604762,300,1,6,18
mlp,oscilacao,50,40,40,341,27,314,5,0.9928571428571429,0.95,1.0,0.9,0.9473684210526315,0.9999999999961539,260,0,2,18
mlp,oscilacao,50,45,45,303,25,278,5,0.98,0.9650262018683071,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.9826839826797287,227,4,1,18
mlp,oscilacao,50,50,50,273,25,248,5,0.9866666666666667,0.9210526315789473,1.0,0.8421052631578947,0.9142857142857143,0.9999999999951457,206,0,3,16
mlp,oscilacao,60,5,5,2725,238,2487,5,0.9797356828193833,0.9554655870445344,0.8461538461538461,0.9263157894736842,0.8844221105527639,0.9846153846149113,2048,32,14,176
mlp,oscilacao,60,10,10,1363,120,1243,5,0.9797356828193833,0.9511148540263074,0.8543689320388349,0.9166666666666666,0.8844221105527639,0.9855630413849995,1024,15,8,88
mlp,oscilacao,60,15,15,909,79,830,5,0.9867549668874173,0.9422768143866409,0.9491525423728814,0.8888888888888888,0.9180327868852459,0.9956647398829542,689,3,7,56
mlp,oscilacao,60,20,20,682,55,627,5,0.9893805309734514,0.9526260687489094,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9961612284049978,519,2,4,40
mlp,oscilacao,60,25,25,545,51,494,5,0.9755555555555555,0.8877989146639633,0.9411764705882353,0.7804878048780488,0.8533333333333334,0.9951100244474448,407,2,9,32
mlp,oscilacao,60,30,30,455,40,415,5,0.9786666666666667,0.8856432858214554,0.96,0.7741935483870968,0.8571428571428571,0.9970930232529155,343,1,7,24
mlp,oscilacao,60,35,35,390,34,356,5,0.9784615384615385,0.9208923688789461,0.8846153846153846,0.8518518518518519,0.8679245283018868,0.9899328859027183,295,3,4,23
mlp,oscilacao,60,40,40,341,28,313,5,0.9857142857142858,0.9230769230769231,0.9444444444444444,0.85,0.8947368421052632,0.9961538461500148,259,1,3,17
mlp,oscilacao,60,45,45,303,27,276,5,0.98,0.9025784986483676,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.9956331877685781,228,1,4,17
mlp,oscilacao,60,50,50,273,26,247,5,0.9644444444444444,0.8,1.0,0.6,0.75,0.999999999995122,205,0,8,12
mlp,oscilacao,60,55,55,248,25,223,5,0.9658536585365853,0.9339275608375779,0.7727272727272727,0.8947368421052632,0.8292682926829268,0.9731182795646607,181,5,2,17
mlp,oscilacao,60,60,60,228,17,211,5,0.9894736842105263,0.9587136027813994,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9943502824802579,176,1,1,12
mlp,oscilacao,70,5,5,2723,262,2461,5,0.9766004415011037,0.9550399721932569,0.8369098712446352,0.9285714285714286,0.8803611738148984,0.9815085158146075,2017,38,15,195
mlp,oscilacao,70,10,10,1362,132,1230,5,0.9779735682819384,0.9497726314245375,0.8584070796460177,0.9150943396226415,0.8858447488584474,0.9844509232254768,1013,16,9,97
mlp,oscilacao,70,15,15,908,89,819,5,0.9655629139072848,0.9178815583559838,0.7922077922077922,0.8591549295774648,0.8243243243243243,0.9766081871330752,668,16,10,61
mlp,oscilacao,70,20,20,681,66,615,5,0.9787610619469026,0.9206220518867925,0.9183673469387755,0.8490566037735849,0.8823529411764706,0.9921874999980621,508,4,8,45
mlp,oscilacao,70,25,25,545,53,492,5,0.9644444444444444,0.9365495855447552,0.7551020408163265,0.9024390243902439,0.8222222222222222,0.9706601466968933,397,12,4,37
mlp,oscilacao,70,30,30,454,42,412,5,0.9786666666666667,0.922071761255822,0.90625,0.8529411764705882,0.8787878787878788,0.991202346038149,338,3,5,29
mlp,oscilacao,70,35,35,389,39,350,5,0.975,0.9086384642730181,0.8888888888888888,0.8275862068965517,0.8571428571428571,0.9896907216460836,288,3,5,24
mlp,oscilacao,70,40,40,341,38,303,5,0.9535714285714286,0.8216101112790218,0.8636363636363636,0.6551724137931034,0.7450980392156863,0.9880478087610038,248,3,10,19
mlp,oscilacao,70,45,45,303,32,271,5,0.968,0.9264380530973451,0.8076923076923077,0.875,0.84,0.9778761061903635,221,5,3,21
mlp,oscilacao,70,50,50,273,27,246,5,0.9688888888888889,0.8701219512195122,0.8823529411764706,0.75,0.8108108108108109,0.990243902434194,203,2,5,15
mlp,oscilacao,70,55,55,248,25,223,5,0.9707317073170731,0.9366157328805886,0.8095238095238095,0.8947368421052632,0.85,0.9784946236506533,182,4,2,17
mlp,oscilacao,70,60,60,227,19,208,5,0.9567567567567568,0.8454469507101086,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9766081871287918,167,4,4,10
mlp,oscilacao,70,65,65,210,21,189,5,0.9714285714285714,0.8791883842144452,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.9936708860696604,157,1,4,13
mlp,oscilacao,70,70,70,195,19,176,5,0.9875,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.9999999999931508,146,0,2,12
mlp,oscilacao,80,5,5,2721,286,2435,5,0.9748344370860927,0.9493590428373038,0.8473895582329317,0.9173913043478261,0.8810020876826722,0.9813267813262991,1997,38,19,211
mlp,oscilacao,80,10,10,1361,144,1217,5,0.9734513274336283,0.947034618785282,0.8412698412698413,0.9137931034482759,0.8760330578512396,0.9802761341213212,994,20,10,106
mlp,oscilacao,80,15,15,907,95,812,5,0.9708609271523179,0.9487442833888846,0.813953488372093,0.9210526315789473,0.8641975308641975,0.9764359351973838,663,16,6,70
mlp,oscilacao,80,20,20,681,67,614,5,0.9893805309734514,0.9775675871566283,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.992172211348352,507,4,2,52
mlp,oscilacao,80,25,25,545,64,481,5,0.9577777777777777,0.8821318000884564,0.8333333333333334,0.7843137254901961,0.8080808080808081,0.9799498746842608,391,8,11,40
mlp,oscilacao,80,30,30,454,46,408,5,0.976,0.961897738446411,0.8292682926829268,0.9444444444444444,0.8831168831168831,0.9793510324454887,332,7,2,34
mlp,oscilacao,80,35,35,389,41,348,5,0.978125,0.9446924880008929,0.875,0.9032258064516129,0.8888888888888888,0.9861591695467607,285,4,3,28
