falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,tn,fp,fn,tp
oscilacao,40,5,5,2671,248,2423,5,0.976629213483146,0.9569262232561687,0.8362068965517241,0.9326923076923077,0.8818181818181818,1979,38,14,194
oscilacao,40,1,1,13353,1224,12129,5,0.9771685393258427,0.9375130650999548,0.8669201520912547,0.8888888888888888,0.87776708373436,9959,140,114,912
oscilacao,20,5,5,2675,181,2494,5,0.9815730337078652,0.9535316221088177,0.8284023668639053,0.9210526315789473,0.8722741433021807,2044,29,12,140
oscilacao,60,n/3,20,667,78,589,5,0.9657657657657658,0.9405808477237049,0.8194444444444444,0.9076923076923077,0.8613138686131386,477,13,6,59
oscilacao,30,n/3,10,1337,107,1230,5,0.972972972972973,0.9498366013071895,0.7830188679245284,0.9222222222222223,0.8469387755102041,997,23,7,83
oscilacao,10,5,5,2677,146,2531,5,0.9807174887892377,0.9285521355450859,0.7985074626865671,0.8699186991869918,0.8326848249027238,2080,27,16,107
queda,80,n/3,26,513,50,463,5,0.9905882352941177,0.9746480553567167,0.9545454545454546,0.9545454545454546,0.9545454545454546,379,2,2,42
queda,100,n/3,33,403,48,355,5,0.9880597014925373,0.982702837232454,0.9302325581395349,0.975609756097561,0.9523809523809523,291,3,1,40
queda,70,n/3,23,580,49,531,5,0.9895833333333334,0.9628279495503167,0.9523809523809523,0.9302325581395349,0.9411764705882353,435,2,3,40
queda,100,1,1,13293,1559,11734,5,0.9839277652370203,0.9886021619843028,0.8860759493670886,0.9947643979057592,0.9372797744890768,9567,171,7,1330
queda,100,5,5,2659,312,2347,5,0.9837471783295711,0.9875372751036804,0.8866666666666667,0.9925373134328358,0.9366197183098591,1913,34,2,266
queda,90,1,1,13303,1419,11884,5,0.9848443843031123,0.988966394201321,0.8825674690007294,0.9942481511914544,0.9350850077279753,9707,161,7,1210
queda,90,n/3,30,444,45,399,5,0.9864864864864865,0.9585173135022078,0.9473684210526315,0.9230769230769231,0.935064935064935,329,2,3,36
queda,90,5,5,2661,284,2377,5,0.9846501128668171,0.9877839325964186,0.8832116788321168,0.9918032786885246,0.9343629343629344,1939,32,2,242
queda,80,1,1,13313,1279,12034,5,0.9857529305680793,0.9892541916990024,0.878323932312651,0.9936189608021878,0.932420872540633,9842,151,7,1090
queda,80,5,5,2663,256,2407,5,0.9855530474040632,0.9879357484620643,0.8790322580645161,0.990909090909091,0.9316239316239316,1965,30,2,218
queda,70,1,1,13323,1139,12184,5,0.9866666666666667,0.989453266278207,0.873087308730873,0.9928352098259979,0.9291187739463601,9982,141,7,970
queda,70,5,5,2665,228,2437,5,0.9864864864864865,0.9879809631362426,0.8738738738738738,0.9897959183673469,0.9282296650717703,1996,28,2,194
queda,60,1,1,13333,999,12334,5,0.9875787578757875,0.9895276118632665,0.8664627930682977,0.9918319719953326,0.9249183895538629,10122,131,7,850
queda,60,5,5,2667,200,2467,5,0.9873873873873874,0.9878383902616279,0.8673469387755102,0.9883720930232558,0.9239130434782609,2022,26,2,170
queda,40,n/3,13,1028,55,973,5,0.9906432748538012,0.995049504950495,0.8545454545454545,1.0,0.9215686274509803,800,8,0,47
queda,60,n/3,20,667,49,618,5,0.9873873873873874,0.9612100290697674,0.9090909090909091,0.9302325581395349,0.9195402298850575,508,4,3,40
queda,50,1,1,13343,859,12484,5,0.9884840305892938,0.9894213780167995,0.8578143360752056,0.9905020352781547,0.9193954659949622,10257,121,7,730
